Tax Year,City Fiscal Year,Base Value as Adjusted,Assessed Value,Value Over base,TIF_percent,Tax Rate ,Captured Value
2013,2014,"15,209,200.00","15,565,800.00","356,600.00",0.5,24.6,"4,386.18"
2014,2015,"15,209,200.00","15,494,270.00","285,070.00",0.5,24.95,"3,556.25"
2015,2016,"15,209,200.00","16,374,350.00","1,165,150.00",0.5,25.03,"14,581.85"
2016,2017,"15,209,200.00","16,515,730.00","1,306,530.00",0.5,25.23,"16,481.88"
2017,2018,"15,209,200.00","18,400,618.00","3,191,418.00",0.5,25.56,"40,786.32"
2018,2019,"18,439,589.00","21,573,384.00","3,133,795.00",0.5,21.96,"34,409.07"
2019,2020,"18,439,589.00","20,281,116.00","1,841,527.00",0.5,22.47,"20,689.56"
2020,2021,"18,439,589.00","20,845,663.00","2,406,074.00",0.5,22.84,"27,477.37"
2021,2022,"18,439,589.00","20,299,725.00","1,860,136.00",0.5,23.21,"21,586.88"
2022,2023,"18,439,589.00","22,134,947.00","3,695,358.00",0.5,24.39,"45,064.89"
2023,2024,"22,548,945.00","27,903,002.00","5,354,057.00",0.5,16.26,"43,528.48"
2024,2025,"22,548,945.00","28,144,759.00","5,595,814.00",0.5,17.15,"47,984.11"
2025,2026,"22,548,945.00","28,134,451.00","5,585,506.00",0.5,17.63,"49,236.24"
