group,year,mean_tax,tot_tax
Downtown,2011,40.1,40.1
Downtown,2012,4493.96,8987.92
Downtown,2013,6145.601891891892,227387.27
Downtown,2014,6362.986923076923,330875.32
Downtown,2015,5843.327924528302,309696.38
Downtown,2016,3657.9148148148147,197527.4
Downtown,2017,8318.398888888889,449193.54
Downtown,2018,8920.288703703704,481695.59
Downtown,2019,8214.57425925926,443587.01
Downtown,2020,10197.349444444444,550656.87
Downtown,2021,9570.29611111111,516795.99
Downtown,2022,10249.273333333333,553460.76
Downtown,2023,8818.105370370371,476177.69
Downtown,2024,10188.562592592592,550182.38
Downtown,2025,11857.236111111111,640290.75
Downtown,NA,NA,0
Lake,2007,23.84,23.84
Lake,2008,266.26666666666665,1597.6000000000001
Lake,2009,680.6133333333333,2041.84
Lake,2010,818.775,6550.2
Lake,2011,2082.7775,8331.11
Lake,2012,974.8571428571429,13648
Lake,2013,2632.5040497737555,1163566.79
Lake,2014,3985.7225162689806,1837418.08
Lake,2015,3997.0397408207346,1850629.4
Lake,2016,2082.1610583153347,964040.57
Lake,2017,6061.030706638116,2830501.34
Lake,2018,3884.734882729211,1821940.66
Lake,2019,3993.8401279317695,1873111.02
Lake,2020,4034.498955223881,1892180.01
Lake,2021,4169.1167164179105,1955315.74
Lake,2022,4378.437531914894,2057865.64
Lake,2023,6044.872936170213,2841090.28
Lake,2024,6193.541617021277,2910964.56
Lake,2025,6492.814148936171,3051622.65
Lake,NA,NA,0
